"Name","Classification","Homepage","SocialMedia","Locality","Lat","Lng","Address","Country","Description","SupportRequest","SupportOffer","Hotline","Tags","Notes","ListingSource","ListingSourceId","ListingSourceUpdated"
"COVID-19 Emergency Food Distribution (LA)","","https://docs.google.com/forms/d/e/1FAIpQLSe5T_atETFetd5FNVemgHOMYQ21fegVcHJlIu3t7gFGg78g1w/viewform?fbclid=IwAR2AcOwrq9kOy54L-Cmwj-Me-1_GDLqolnVWI3_ebPnBEwrshfkvW71sCzw","","Los Angeles, CA",,,,"USA","","","https://docs.google.com/forms/d/e/1FAIpQLSe5T_atETFetd5FNVemgHOMYQ21fegVcHJlIu3t7gFGg78g1w/viewform?fbclid=IwAR2AcOwrq9kOy54L-Cmwj-Me-1_GDLqolnVWI3_ebPnBEwrshfkvW71sCzw","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"East Bay Mutual Aid","","https://docs.google.com/forms/d/e/1FAIpQLSeL8HnzhwF83qq3qyDJPsE0fTSRweSp4RBZrNq-pTa3un60qg/viewform","","Oakland, CA",,,,"USA","","https://docs.google.com/forms/d/e/1FAIpQLSeL8HnzhwF83qq3qyDJPsE0fTSRweSp4RBZrNq-pTa3un60qg/viewform","https://docs.google.com/forms/d/e/1FAIpQLSdOZvKC2UuF_XvoMDr6NsYABalu4X0W6r0gj0YenfiTcJ7Xdw/viewform","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"California / East Bay: East Bay Disabled Folks COVID-19 Support Request Form","","https://docs.google.com/forms/d/e/1FAIpQLSc7LLhYN243k6xFlmQH26lAN9EoRXgEQGrghbqL8Ttc1K8YNA/viewform","","East Bay, Oakland, CA",,,,"USA","","","https://docs.google.com/forms/d/e/1FAIpQLSc7LLhYN243k6xFlmQH26lAN9EoRXgEQGrghbqL8Ttc1K8YNA/viewform","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"California / East Bay: East Bay Disability Ally Form","","https://docs.google.com/forms/d/e/1FAIpQLSclWGR5A-rSBTPBTv9UGbCOVjpMKgts0DPP12BZjlUDADhPkw/viewform","","East Bay, Oakland, CA",,,,"USA","","","https://docs.google.com/forms/d/e/1FAIpQLSclWGR5A-rSBTPBTv9UGbCOVjpMKgts0DPP12BZjlUDADhPkw/viewform","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Alice Street Mutual Aid","FacebookMutualAid","https://www.facebook.com/groups/495154731159158/","https://www.facebook.com/groups/495154731159158/","Oakland, CA",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"East Bay DIsabled Folks COVID19 Support","","https://docs.google.com/forms/d/e/1FAIpQLSc7LLhYN243k6xFlmQH26lAN9EoRXgEQGrghbqL8Ttc1K8YNA/viewform","","Oakland, CA",,,,"USA","","","https://tinyurl.com/DJCCally","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Oakland At Risk Match","","https://www.oaklandatrisk.com/","","Oakland, CA",,,,"USA","","https://docs.google.com/forms/d/e/1FAIpQLSf72Nd_SzKqoZkr0nRICpVfZjI2ipVy5meOpARUTanGkkNb5w/viewform","https://docs.google.com/forms/d/e/1FAIpQLSeocUMsWW9al0K8AQ2aFtHHdkWJ_QDClT_MjXUDpita7IlTQA/viewform","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"El Cerrito / Richmond Mutual AId","","https://docs.google.com/forms/d/e/1FAIpQLSeu6esf4-IJac-kX4Kev7qE2giV6HO-ntT0tBVZjrPkEQXRZQ/viewform?fbzx=-3920297804946702319","","Richmond, CA",,,,"USA","","","https://docs.google.com/spreadsheets/d/1TDoV37zYyGx-csgkxUM6rIKbVECTg0hO83GSZylJHnc/edit?fbclid=IwAR20uLTo7PtY7sgc5EMwvIiB1obsVOd72_9sniM4a7yYdcAHaWwQ_w-BeWw#gid=0","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"California / Sacramento: Sacramento COVID-19 Mutual Aid 2020","","https://docs.google.com/spreadsheets/d/1iRTr4P5fJsGlJ5ogNqogZMOFtuOsdMSiDylkjZo-AKE/edit#gid=634347005","","Sacramento, CA",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"San Diego (county-wide) COVID-19 Mutual Aid Volunteer Sign-Up","FacebookMutualAid","https://www.facebook.com/groups/938774179853952/","https://www.facebook.com/groups/938774179853952/","San Diego, CA",,,,"USA","","","https://docs.google.com/forms/d/e/1FAIpQLSfebNW1h60jIfyD8pTZ9G_kXBMqrZycIbv3zGGFqQIwOTYvyQ/viewform?fbclid=IwAR2n--LeStLja83hblNrC14vYlnGsV6HqRQziNQh1Xf_ihY4ZLNZwNiO6e8","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Bay Area Senior/Disability/Worker Mutual Aid Form","","https://docs.google.com/forms/d/1hqLnUN22aMoRnKnJJF2CzNP7u-RG5-rhZAz509z9wxE/viewform?fbclid=IwAR1vv4o72t7yYK3FlcB9bcY6l8uhsFpz6mwurmN6i7D_p9arIvKKZD8Dfjc&edit_requested=true","","San Francisco, CA",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"California / Bay Area: Covid-19 Financial Solidarity","","https://docs.google.com/spreadsheets/d/1FBEU0cdAGpScU0JrOlYFm8FrY1Bjr0_HsyW4hWOj74I/edit?usp=drivesdk","","San Francisco, CA",,,,"USA","","https://docs.google.com/spreadsheets/d/1FBEU0cdAGpScU0JrOlYFm8FrY1Bjr0_HsyW4hWOj74I/edit?usp=drivesdk","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"California / San Francisco: SF Bay Mutual Aid Form","","https://docs.google.com/forms/d/e/1FAIpQLSeRdZabsQN36mtCTfYHZ1unT1U0pLpNqSC7MXaMjNqQAeVLQw/viewform","","San Francisco Bay Area, San Francisco, CA",,,,"USA","","https://docs.google.com/forms/d/e/1FAIpQLSeRdZabsQN36mtCTfYHZ1unT1U0pLpNqSC7MXaMjNqQAeVLQw/viewform","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Help a Neighbor 2020","FacebookMutualAid","https://www.facebook.com/groups/1306542072854295","https://www.facebook.com/groups/1306542072854295","San Francisco, CA",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"SF Community Support","","https://www.sfcommunitysupport.org/","https://www.facebook.com/groups/communitysupportsf/","San Francisco, CA",,,,"USA","","https://docs.google.com/forms/d/e/1FAIpQLSeHPN6fTKeFq8kYCigBJ7Dicyiq5vyTKJJN7FJ7lF2QRBJKFA/viewform","https://docs.google.com/forms/d/e/1FAIpQLSffERBfg3Vs-f2U-W-f2WJyEjYPLuK8ZR5LgaR0ZvM8FuV-DQ/viewform","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"COVID19 Love Peninsula","","https://docs.google.com/forms/d/e/1FAIpQLSdWEQ6A4O2I4L8Vz8-_Bc5Q1zqhqGAayobkUnMrWGoeGjWAFQ/viewform?fbclid=IwAR0x5iwEgqWZOL-pd8HOgpKEKHSQNKwx8taDtYukMptlDzCEnqbILlu5iR4","","San Mateo, CA",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"California / South Bay: South Bay Mutual Aid Intake","","https://docs.google.com/forms/d/e/1FAIpQLSelE_VdJNsuMdO1Z8OE-y5ltQZCZSeFG1pkknvKNmv11HAssw/viewform","","South Bay, Santa Clara, CA",,,,"USA","","","https://docs.google.com/forms/d/e/1FAIpQLSelE_VdJNsuMdO1Z8OE-y5ltQZCZSeFG1pkknvKNmv11HAssw/viewform","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"California / South Bay: South Bay Mutual Aid Volunteer Intake (Español)","","https://docs.google.com/forms/d/1qbZtxiIcLFHRb2Y26w708-Ex4lnN4g9JEiEaxRlsDU8/viewform?edit_requested=true","","South Bay, Santa Clara, CA",,,,"USA","","","https://docs.google.com/forms/d/1qbZtxiIcLFHRb2Y26w708-Ex4lnN4g9JEiEaxRlsDU8/viewform?edit_requested=true","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Compassionate Santa Monica/COVID19 Compassion Task Force","FacebookMutualAid","https://www.facebook.com/groups/compassionatesantamonica/","https://www.facebook.com/groups/compassionatesantamonica/","Santa Monica, CA",,,,"USA","","https://forms.gle/8tGc5iM64p3LRNcu8","https://forms.gle/8tGc5iM64p3LRNcu8","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"COVID Santa Cruz County Aid and Volunteer Form","","https://docs.google.com/forms/d/e/1FAIpQLSe0o0wsubIj5NVXINzx7Ay8vEyKpLbIk_sQ0r6JLxbZWHYrjQ/viewform","","Santa Cruz, CA",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Klamath Siskiyou Mutual Aid Network","FacebookMutualAid","https://www.facebook.com/groups/218700056182795/?ref=br_rs","https://www.facebook.com/groups/218700056182795/?ref=br_rs","Siskiyou County, CA",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"United Disaster Relief of Northern California","FacebookMutualAid","https://www.facebook.com/mendolakecomplexfirerelief/","https://www.facebook.com/mendolakecomplexfirerelief/","Ukiah, CA",,,,"USA","","https://www.ncoinc.org/fs/mendocino-fire-recovery-center/?fbclid=IwAR3eKmYGEbnpVDoEvchqrrCfD5EA0KLIL10WM_qKFHDqGeS8EBqxP2Urb80","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Sign up: CA Medical Supplies Donation","","https://docs.google.com/forms/d/e/1FAIpQLSfDDdf7DQrA8PljFEQxoaBn5DRx9fGV0ffsupoE_Ut-tkkEfw/viewform","","CA",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"DSA Ventura County COVID-19 Mutual Aid","","https://www.dsaventuracounty.org/covid_19_mutual_aid","https://www.facebook.com/DSAVenturaCounty/","Oxnard, CA",,,,"USA","","https://docs.google.com/forms/d/e/1FAIpQLSdwbRdSE4TSQqNXw0kvzqOYRTf6ANfR7v-GwKZBwyU3dkCGRA/viewform","https://docs.google.com/forms/d/e/1FAIpQLSdo47CkpxhXmy4wD5tJJqVGS2inJstQb25kZBPCCzZhgrosug/viewform","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Silicon Valley Strong","","http://www.siliconvalleystrong.org","","San Jose, CA",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Cooperation Humboldt","","https://cooperationhumboldt.com/covid-response/","https://www.facebook.com/cooperationhumboldt/","Eureka, CA",,,,"USA","","https://docs.google.com/forms/d/e/1FAIpQLSc2LM3ydC4IkEgnpLv7qN7jls7oURI5h5rIYLIUyql12Guf4w/viewform","https://docs.google.com/forms/d/e/1FAIpQLSeXeuwogndzP-LsEfKVt56Cnt3hqWrfI1jHsfmFga0wUmmm9Q/viewform","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Orange County COVID-19 Mutual Aid 2020","","https://docs.google.com/spreadsheets/d/1UqvDWmL4Wt_fOphAL_EZddI2WWZPeBNt3yt9RKosBJI/edit#gid=634347005","https://www.facebook.com/groups/197294515038170/","Anaheim, CA",,,,"USA","","https://docs.google.com/forms/d/e/1FAIpQLSdo_rsFIb717mt5FT4rdvk1EdERqI7NPkehGthSp1H2NbTEog/viewform","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"We All We Got SD","","https://www.weallwegotsd.com/","https://www.facebook.com/groups/938774179853952/","San Diego, CA",,,,"USA","","https://docs.google.com/forms/d/e/1FAIpQLScQqNz8d1bVllnHbRwG9zxCaDaUGUAN9BQuLOFBfOWQD8UzdQ/viewform?fbclid=IwAR2_X6pD9o0K5kPuwkXd4NIM28A24sS_1zLrXZAuk6PtJJBXvXzUQPuEoxs","https://docs.google.com/forms/d/e/1FAIpQLSfebNW1h60jIfyD8pTZ9G_kXBMqrZycIbv3zGGFqQIwOTYvyQ/viewform?fbclid=IwAR0lOjML2V1KbdxFJ1DzfZGVYTVSXuk87sFsUCj3GlNPg4wAm6xBSzyhD8U","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"How Can I Help? Bay Area","InformationSite","https://docs.google.com/spreadsheets/d/1gQlAmgIsXdEUdISa3gKYd5PX6eq6nc5WALdmNxQpNGw/edit#gid=0","","San Francisco, CA",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"SGV Pandemic Mutual Aid Group","","https://docs.google.com/spreadsheets/d/12Rj_d1WjYbWlHvrxfuHivjN-lLnUT0481Lvr1zLxXMU/edit#gid=0","","Tomales, CA",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Moutain Communities COVID-19 Mutual Aid","FacebookMutualAid","https://www.facebook.com/groups/MCCMA","https://www.facebook.com/groups/MCCMA","Idyllwild-Pine Cove, CA",,,,"USA","","https://airtable.com/shrAp2BJznGM3ASLZ","https://airtable.com/shrR3vHabEP0OT9d2","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Riverside Mutual Aid Network","","http://docs.google.com/document/d/19OjdlJdny63GuKlvSYPUF8Cx62s-1gGXeJlB2Wmo7aw/edit?usp=sharing","https://www.facebook.com/rivmutualaid/","Riverside, CA",,,,"USA","","https://forms.gle/XC4wzCjWQhgMZD2n6","https://forms.gle/NmqD16sV5dzMRcUn7","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Joshua Tree Mutual Aid","FacebookMutualAid","https://www.facebook.com/groups/JTMutualAid/","https://www.facebook.com/groups/JTMutualAid/","Joshua Tree, CA",,,,"USA","","","","760-885-2324","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"High Desert Mutual Aid Society","FacebookMutualAid","https://www.facebook.com/Highdesertmutualaid","https://www.facebook.com/Highdesertmutualaid","Victorville, CA",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Aurora Mutual Aid","","Hotlline: 720-477-0406","","Aurora, CO",,,,"USA","","Hotlline: 720-477-0406","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Mutual Aid Infrastructure - Aurora","FacebookMutualAid","https://www.facebook.com/groups/2704399092941296/","https://www.facebook.com/groups/2704399092941296/","Aurora, CO",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Boulder Coronavirus Community Coping Crew","FacebookMutualAid","https://www.facebook.com/groups/199467514668513/?ref=share","https://www.facebook.com/groups/199467514668513/?ref=share","Boulder, CO",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Front Range Mutual Aid","MutualAidGroup","https://www.facebook.com/COmutualists/","https://www.facebook.com/COmutualists/","Front Range, Boulder, CO",,,,"USA","","https://docs.google.com/forms/d/e/1FAIpQLSc1-tbmQmbv2oWnr8Cv0_N73skDcnuwaucSoWIV2QEJcufAnw/viewform?fbclid=IwAR2Z7c1Q1iqZJ5r-C5QycyfaQNVyLNb0qwAmQorjo-thzlUCUssLruqTmCQ","https://docs.google.com/forms/d/e/1FAIpQLSdbwDrX-tSW9Mktdnjirl4bXTiu8mKbAB1bjML9dnzYuTX3vw/viewform?fbclid=IwAR3QNT1W0Mx0vir7NQIjdAXOf87NXR4dP0J28G3lXli4HDTYkEZ9h3wkCjI","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"City of Boulder volunteer cooperative","","https://countmein.bouldercolorado.gov/","","Boulder, CO",,,,"USA","","","https://countmein.bouldercolorado.gov/Calendar?start=2020-03-01&departments=17b7c26c-18b9-4e9c-a8c7-a881f5dbb43b","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Boulder COVID-19 Mutual Aid","FacebookMutualAid","https://www.facebook.com/groups/1241349502724671/?source=unknown","https://www.facebook.com/groups/1241349502724671/?source=unknown","Boulder, CO",,,,"USA","","https://docs.google.com/forms/d/1PF0DSmwAEjomHTY-ZZ7OhnY2jxTJHfgiKZzb-bAroVc/edit","https://docs.google.com/forms/d/1PF0DSmwAEjomHTY-ZZ7OhnY2jxTJHfgiKZzb-bAroVc/edit","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Mutual Aid Collective, Boulder","FacebookMutualAid","https://www.facebook.com/groups/201650704398894/","https://www.facebook.com/groups/201650704398894/","Boulder, CO",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Colorado / Colorado Springs: COS Mutual Aid Network","","https://opencollective.com/cos-mutual-aid-network","https://www.facebook.com/groups/580039515935157/?ref=share","Colorado Springs, CO",,,,"USA","","","https://docs.google.com/forms/d/e/1FAIpQLScjX-h6JXME_QkcbkaeXb6Rm9dSkMSu9ebvQvVu-bovF2_o1w/viewform?usp=send_form","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Mutual Aid Colorado Springs","","https://docs.google.com/forms/d/e/1FAIpQLScjX-h6JXME_QkcbkaeXb6Rm9dSkMSu9ebvQvVu-bovF2_o1w/viewform","https://www.facebook.com/groups/197210804946129/about/","Colorado Springs, CO",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Help Needed in Denver Metro COVID-19","FacebookMutualAid","https://www.facebook.com/groups/516631032588738/permalink/516705622581279/","https://www.facebook.com/groups/516631032588738/permalink/516705622581279/","Denver, CO",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"State of Colorado COVID-19 Volunteer Response","","https://covrn.com/","","Denver, CO",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Denver Public Schools foundation","","https://www.dpsk12.org/coronavirus/","","Denver, CO",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Front Range Mutual Aid","MutualAidGroup","https://frman.org/","https://www.facebook.com/groups/265712697332241","Denver, CO",,,,"USA","","http://bit.ly/getcovidaidcolorado","http://bit.ly/covidaidcolorado","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Denver Community Mutual Aid","","https://docs.google.com/spreadsheets/d/1kYhC0D1DcFgH7gB5D_akLoG10Wm1aGhXrdS0wMPhBaA/edit?fbclid=IwAR2uGHLJUUt_jSP5zc2rD0i5jzJsey37UY1GHLlEygj8Hh4mk8lVbP-rQ3Q#gid=1727309836","","Denver, CO",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Fort Collins Mutual Aid Network","","https://fortcollinsmutualaid.neocities.org/?fbclid=IwAR0l8fq-WnqMbrzKtFz47QBih1XvxQ9izQHDLImyc2QaHwJQK4lwnqjZe5k","https://www.facebook.com/Fort-Collins-Mutual-Aid-Network-1515855165176704/","Fort Collins, CO",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Northern Colorado Mutual Aid and Defense","","https://twitter.com/NoCoCMAD","","Longmont, CO",,,,"USA","","Support request is temporarily closed","https://docs.google.com/forms/d/e/1FAIpQLScB_-Rw3TlpAb9wdUNYUChyqkggEKSmfL7q1Mrt6Q3VWURe2w/viewform?usp=send_form","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Mutual Aid in Colorado Springs during COVID-19 pandemic","FacebookMutualAid","https://www.facebook.com/groups/197210804946129/","https://www.facebook.com/groups/197210804946129/","Colorado Springs, CO",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Mutual Aid Infrastructure--Aurora, Colorado","FacebookMutualAid","https://www.facebook.com/groups/2704399092941296/?ref=share","https://www.facebook.com/groups/2704399092941296/?ref=share","Aurora, CO",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Durango Helps","","https://docs.google.com/document/d/1odc1Vtb8StICRLBHEC9bvOJyFUQYkHjaBwqaLa1iap8/edit","https://www.facebook.com/CelebratingHealthyCommunities/","Durango, CO",,,,"USA","","https://docs.google.com/forms/d/e/1FAIpQLSe9L_mPUq_22xrAO_CpugS6DrQR-P53b2iBZgRMbspxR6lghQ/viewform","https://docs.google.com/forms/d/e/1FAIpQLSe9L_mPUq_22xrAO_CpugS6DrQR-P53b2iBZgRMbspxR6lghQ/viewform","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"CTCORE Mutual Aid","","https://docs.google.com/forms/d/e/1FAIpQLSee9baIhH7IglyvLdkBtlrMSK9AiJbJQvIksUArLV0ZksvO7g/viewform","https://www.facebook.com/ctcoreorganizenow.org/","Hartford, CT",,,,"USA","","http://www.ctcore-organizenow.org/coronactsupport","http://www.ctcore-organizenow.org/coronactsupport","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
